ID |Name |Alias |CAS |Pure |Formula |BibTeX 
77 | R113 |  | 76-13-1 | true | C_{2}Cl_{3}F_{3} |  BibTeX-CONDUCTIVITY: BibTeX-EOS:Marx-BOOK-1992 BibTeX-CP0: BibTeX-SURFACE_TENSION:Mulero-JPCRD-2012 BibTeX-MELTING_LINE: BibTeX-VISCOSITY:
78 | R114 |  | 76-14-2 | true | C_{2}Cl_{2}F_{4} |  BibTeX-CONDUCTIVITY: BibTeX-EOS:Platzer-BOOK-1990 BibTeX-CP0:Platzer-BOOK-1990 BibTeX-SURFACE_TENSION:Mulero-JPCRD-2012 BibTeX-MELTING_LINE: BibTeX-VISCOSITY:
79 | R115 |  | 76-15-3 | true | C_{2}F_{5}Cl_{1} |  BibTeX-CONDUCTIVITY: BibTeX-EOS:Lemmon-JCED-2016-365227 BibTeX-CP0: BibTeX-SURFACE_TENSION: BibTeX-MELTING_LINE: BibTeX-VISCOSITY:
80 | R116 |  | 76-16-4 | true | C_{2}F_{6} |  BibTeX-CONDUCTIVITY:Huber-IECR-2003 BibTeX-EOS:Lemmon-JCED-2006 BibTeX-CP0: BibTeX-SURFACE_TENSION:Mulero-JPCRD-2012 BibTeX-MELTING_LINE: BibTeX-VISCOSITY:Huber-IECR-2003
81 | R12 |  | 75-71-8 | true | C_{1}Cl_{2}F_{2} |  BibTeX-CONDUCTIVITY:McLinden-IJR-2000 BibTeX-EOS:Marx-BOOK-1992 BibTeX-CP0: BibTeX-SURFACE_TENSION:Mulero-JPCRD-2012 BibTeX-MELTING_LINE: BibTeX-VISCOSITY:Klein-IJR-1997
82 | R123 |  | 306-83-2 | true | C_{2}Cl_{2}F_{3}H_{1} |  BibTeX-CONDUCTIVITY:Laesecke-IJR-1996 BibTeX-EOS:Younglove-JPCRD-1994 BibTeX-CP0:Younglove-JPCRD-1994 BibTeX-SURFACE_TENSION:Mulero-JPCRD-2012 BibTeX-MELTING_LINE: BibTeX-VISCOSITY:Tanaka-IJT-1996
83 | R1233zd(E) | R1233zdE, R1233ZDE, R1233ZD(E), R1233ZD | 102687-65-0 | true | C_{3}Cl_{1}F_{3}H_{2} |  BibTeX-CONDUCTIVITY: BibTeX-EOS:Mondejar-JCED-2015-R1233zdE BibTeX-CP0: BibTeX-SURFACE_TENSION:Kondou-IJR-2015 BibTeX-MELTING_LINE: BibTeX-VISCOSITY:Bell-PURDUE-2016-ETA
84 | R1234yf | R1234YF | 754-12-1 | true | C_{3}F_{4}H_{2} |  BibTeX-CONDUCTIVITY:Perkins-JCED-2011 BibTeX-EOS:Richter-JCED-2011 BibTeX-CP0: BibTeX-SURFACE_TENSION:Mulero-JPCRD-2012 BibTeX-MELTING_LINE: BibTeX-VISCOSITY:Bell-PURDUE-2016-ETA
85 | R1234ze(E) | R1234ZE, R1234ZEE, R1234zeE, R1234ZE(E) | 29118-24-9 | true | C_{3}F_{4}H_{2} |  BibTeX-CONDUCTIVITY:Perkins-JCED-2011 BibTeX-EOS:Thol-IJT-2016-R1234zeE,Thol-REFPROP-9.1 BibTeX-CP0: BibTeX-SURFACE_TENSION:Mulero-JPCRD-2014 BibTeX-MELTING_LINE: BibTeX-VISCOSITY:Bell-PURDUE-2016-ETA
86 | R1234ze(Z) | R1234ZE(Z) | 29118-25-0 | true | C_{3}F_{4}H_{2} |  BibTeX-CONDUCTIVITY: BibTeX-EOS:Akasaka-DELFT-2013 BibTeX-CP0: BibTeX-SURFACE_TENSION:Kondou-IJR-2015 BibTeX-MELTING_LINE: BibTeX-VISCOSITY:
87 | R124 |  | 2837-89-0 | true | C_{2}Cl_{1}F_{4}H_{1} |  BibTeX-CONDUCTIVITY:Huber-IECR-2003 BibTeX-EOS:deVries-ICR-1995 BibTeX-CP0: BibTeX-SURFACE_TENSION:Mulero-JPCRD-2012 BibTeX-MELTING_LINE: BibTeX-VISCOSITY:Bell-PURDUE-2016-ETA
88 | R125 |  | 354-33-6 | true | C_{2}F_{5}H_{1} |  BibTeX-CONDUCTIVITY:Perkins-JCED-2006 BibTeX-EOS:Lemmon-JPCRD-2005 BibTeX-CP0: BibTeX-SURFACE_TENSION:Mulero-JPCRD-2012 BibTeX-MELTING_LINE: BibTeX-VISCOSITY:Huber-IECR-2006
89 | R13 |  | 75-72-9 | true | C_{1}Cl_{1}F_{3} |  BibTeX-CONDUCTIVITY:Huber-IECR-2003 BibTeX-EOS:Platzer-BOOK-1990 BibTeX-CP0:Platzer-BOOK-1990 BibTeX-SURFACE_TENSION:Mulero-JPCRD-2012 BibTeX-MELTING_LINE: BibTeX-VISCOSITY:Huber-IECR-2003
90 | R134a | R134A | 811-97-2 | true | C_{2}F_{4}H_{2} |  BibTeX-CONDUCTIVITY:McLinden-IJR-2000 BibTeX-EOS:TillnerRoth-JPCRD-1994 BibTeX-CP0: BibTeX-SURFACE_TENSION:Mulero-JPCRD-2012 BibTeX-MELTING_LINE: BibTeX-VISCOSITY:Huber-IECR-2003
91 | R13I1 | CF3I | 2314-97-8 | true | C_{1}F_{3}I_{1} |  BibTeX-CONDUCTIVITY: BibTeX-EOS:Lemmon-JCED-2016-365227 BibTeX-CP0: BibTeX-SURFACE_TENSION: BibTeX-MELTING_LINE: BibTeX-VISCOSITY:
92 | R14 |  | 75-73-0 | true | C_{1}F_{4} |  BibTeX-CONDUCTIVITY:Huber-IECR-2003 BibTeX-EOS:Platzer-BOOK-1990 BibTeX-CP0:Platzer-BOOK-1990 BibTeX-SURFACE_TENSION:Mulero-JPCRD-2012 BibTeX-MELTING_LINE: BibTeX-VISCOSITY:Huber-IECR-2003
93 | R141b | R141B | 1717-00-6 | true | C_{2}Cl_{2}F_{1}H_{3} |  BibTeX-CONDUCTIVITY:Huber-IECR-2003 BibTeX-EOS:Lemmon-JCED-2006 BibTeX-CP0: BibTeX-SURFACE_TENSION:Mulero-JPCRD-2012 BibTeX-MELTING_LINE: BibTeX-VISCOSITY:Huber-IECR-2003
94 | R142b | R142B | 75-68-3 | true | C_{2}Cl_{1}F_{2}H_{3} |  BibTeX-CONDUCTIVITY:Huber-IECR-2003 BibTeX-EOS:Lemmon-JCED-2006 BibTeX-CP0: BibTeX-SURFACE_TENSION:Mulero-JPCRD-2012 BibTeX-MELTING_LINE: BibTeX-VISCOSITY:Huber-IECR-2003
95 | R143a | R143A | 420-46-2 | true | C_{2}F_{3}H_{3} |  BibTeX-CONDUCTIVITY:McLinden-IJR-2000 BibTeX-EOS:LemmonJacobsen-JPCRD-2000 BibTeX-CP0: BibTeX-SURFACE_TENSION:Mulero-JPCRD-2014 BibTeX-MELTING_LINE: BibTeX-VISCOSITY:Klein-IJR-1997
96 | R152A | R152a | 75-37-6 | true | C_{2}F_{2}H_{4} |  BibTeX-CONDUCTIVITY:Krauss-IJT-1996 BibTeX-EOS:Outcalt-JPCRD-1996-R152A BibTeX-CP0: BibTeX-SURFACE_TENSION:Mulero-JPCRD-2012 BibTeX-MELTING_LINE: BibTeX-VISCOSITY:Bell-PURDUE-2016-ETA
97 | R161 | Fluoroethane, FLUOROETHANE | 353-36-6 | true | C_{2}F_{1}H_{5} |  BibTeX-CONDUCTIVITY: BibTeX-EOS:Wu-IJT-2012 BibTeX-CP0: BibTeX-SURFACE_TENSION:Mulero-JPCRD-2012 BibTeX-MELTING_LINE: BibTeX-VISCOSITY:
98 | R21 |  | 75-43-4 | true | C_{1}Cl_{2}F_{1}H_{1} |  BibTeX-CONDUCTIVITY: BibTeX-EOS:Platzer-BOOK-1990 BibTeX-CP0:Platzer-BOOK-1990 BibTeX-SURFACE_TENSION:Mulero-JPCRD-2012 BibTeX-MELTING_LINE: BibTeX-VISCOSITY:
99 | R218 |  | 76-19-7 | true | C_{3}F_{8} |  BibTeX-CONDUCTIVITY:Huber-IECR-2003 BibTeX-EOS:Lemmon-JCED-2006 BibTeX-CP0: BibTeX-SURFACE_TENSION:Mulero-JPCRD-2012 BibTeX-MELTING_LINE: BibTeX-VISCOSITY:Huber-IECR-2003
100 | R22 |  | 75-45-6 | true | C_{1}Cl_{1}F_{2}H_{1} |  BibTeX-CONDUCTIVITY:McLinden-IJR-2000 BibTeX-EOS:Kamei-IJT-1995 BibTeX-CP0: BibTeX-SURFACE_TENSION:Mulero-JPCRD-2012 BibTeX-MELTING_LINE: BibTeX-VISCOSITY:Bell-PURDUE-2016-ETA
101 | R227EA | R227ea | 431-89-0 | true | C_{3}F_{7}H_{1} |  BibTeX-CONDUCTIVITY:Huber-IECR-2003 BibTeX-EOS:Lemmon-JCED-2016-365227 BibTeX-CP0: BibTeX-SURFACE_TENSION:Mulero-JPCRD-2012 BibTeX-MELTING_LINE: BibTeX-VISCOSITY:Huber-IECR-2003
102 | R23 |  | 75-46-7 | true | C_{1}F_{3}H_{1} |  BibTeX-CONDUCTIVITY:Shan-ASHRAE-2000 BibTeX-EOS:Penoncello-JPCRD-2003 BibTeX-CP0: BibTeX-SURFACE_TENSION:Mulero-JPCRD-2012 BibTeX-MELTING_LINE: BibTeX-VISCOSITY:Shan-ASHRAE-2000
103 | R236EA | R236ea | 431-63-0 | true | C_{3}F_{6}H_{2} |  BibTeX-CONDUCTIVITY:Huber-IECR-2003 BibTeX-EOS:Rui-FPE-2013 BibTeX-CP0: BibTeX-SURFACE_TENSION:Mulero-JPCRD-2012 BibTeX-MELTING_LINE: BibTeX-VISCOSITY:Huber-IECR-2003
104 | R236FA | R236fa | 690-39-1 | true | C_{3}F_{6}H_{2} |  BibTeX-CONDUCTIVITY:Huber-IECR-2003 BibTeX-EOS:Pan-FPE-2012 BibTeX-CP0: BibTeX-SURFACE_TENSION:Mulero-JPCRD-2012 BibTeX-MELTING_LINE: BibTeX-VISCOSITY:Huber-IECR-2003
105 | R245ca | R245CA | 679-86-7 | true | C_{3}F_{5}H_{3} |  BibTeX-CONDUCTIVITY: BibTeX-EOS:Zhou-IJT-2016-R245ca BibTeX-CP0: BibTeX-SURFACE_TENSION:Mulero-JPCRD-2012 BibTeX-MELTING_LINE: BibTeX-VISCOSITY:
106 | R245fa | R245FA | 460-73-1 | true | C_{3}F_{5}H_{3} |  BibTeX-CONDUCTIVITY:Huber-IECR-2003 BibTeX-EOS:Akasaka-JPCRD-2015-R245fa BibTeX-CP0: BibTeX-SURFACE_TENSION:Mulero-JPCRD-2012 BibTeX-MELTING_LINE: BibTeX-VISCOSITY:Bell-PURDUE-2016-ETA
107 | R32 |  | 75-10-5 | true | C_{1}F_{2}H_{2} |  BibTeX-CONDUCTIVITY:Huber-IECR-2003 BibTeX-EOS:TillnerRoth-JPCRD-1997 BibTeX-CP0: BibTeX-SURFACE_TENSION:Mulero-JPCRD-2012 BibTeX-MELTING_LINE: BibTeX-VISCOSITY:Bell-PURDUE-2016-ETA
108 | R365MFC | R365mfc | 406-58-6 | true | C_{4}F_{5}H_{5} |  BibTeX-CONDUCTIVITY: BibTeX-EOS:Lemmon-JCED-2016-365227 BibTeX-CP0: BibTeX-SURFACE_TENSION:Mulero-JPCRD-2012 BibTeX-MELTING_LINE: BibTeX-VISCOSITY:
109 | R40 | MethylChloride | 74-87-3 | true | C_{1}Cl_{1}H_{3} |  BibTeX-CONDUCTIVITY: BibTeX-EOS:Thol-IJT-2014 BibTeX-CP0: BibTeX-SURFACE_TENSION:Mulero-JPCRD-2014 BibTeX-MELTING_LINE: BibTeX-VISCOSITY:
110 | R404A | R404a | R404A.PPF | false | N/A |  BibTeX-CONDUCTIVITY:Geller-IJT-2001 BibTeX-EOS:Lemmon-IJT-2003 BibTeX-CP0: BibTeX-SURFACE_TENSION:Okada-IJT-1999 BibTeX-MELTING_LINE: BibTeX-VISCOSITY:Geller-PURDUE-2000
111 | R407C | R407c | R407C.PPF | false | N/A |  BibTeX-CONDUCTIVITY:Geller-IJT-2001 BibTeX-EOS:Lemmon-IJT-2003 BibTeX-CP0: BibTeX-SURFACE_TENSION:Okada-IJT-1999 BibTeX-MELTING_LINE: BibTeX-VISCOSITY:Geller-PURDUE-2000
112 | R41 |  | 593-53-3 | true | C_{1}F_{1}H_{3} |  BibTeX-CONDUCTIVITY: BibTeX-EOS:Lemmon-JCED-2006 BibTeX-CP0: BibTeX-SURFACE_TENSION:Mulero-JPCRD-2012 BibTeX-MELTING_LINE: BibTeX-VISCOSITY:
113 | R410A | R410a | R410A.PPF | false | N/A |  BibTeX-CONDUCTIVITY:Geller-IJT-2001 BibTeX-EOS:Lemmon-IJT-2003 BibTeX-CP0: BibTeX-SURFACE_TENSION:Okada-IJT-1999 BibTeX-MELTING_LINE: BibTeX-VISCOSITY:Geller-PURDUE-2000
114 | R507A | R507a | R507A.PPF | false | N/A |  BibTeX-CONDUCTIVITY:Geller-IJT-2001 BibTeX-EOS:Lemmon-IJT-2003 BibTeX-CP0: BibTeX-SURFACE_TENSION:Okada-IJT-1999 BibTeX-MELTING_LINE: BibTeX-VISCOSITY:Geller-PURDUE-2000
115 | RC318 |  | 115-25-3 | true | C_{4}F_{8} |  BibTeX-CONDUCTIVITY:Huber-IECR-2003 BibTeX-EOS:Platzer-BOOK-1990 BibTeX-CP0:Platzer-BOOK-1990 BibTeX-SURFACE_TENSION:Mulero-JPCRD-2012 BibTeX-MELTING_LINE: BibTeX-VISCOSITY:Huber-IECR-2003
116 | SES36 |  | SES36.ppf | false | N/A |  BibTeX-CONDUCTIVITY: BibTeX-EOS:Thol-2012 BibTeX-CP0: BibTeX-SURFACE_TENSION: BibTeX-MELTING_LINE: BibTeX-VISCOSITY:
117 | SulfurDioxide | SO2, SULFURDIOXIDE | 7446-09-5 | true | O_{2}S_{1} |  BibTeX-CONDUCTIVITY: BibTeX-EOS:Gao-JCED-2016 BibTeX-CP0: BibTeX-SURFACE_TENSION:Mulero-JPCRD-2012 BibTeX-MELTING_LINE: BibTeX-VISCOSITY:
118 | SulfurHexafluoride | SULFURHEXAFLUORIDE, SF6 | 2551-62-4 | true | F_{6}S_{1} |  BibTeX-CONDUCTIVITY:Assael-JPCRD-2012-SF6 BibTeX-EOS:Guder-JPCRD-2009 BibTeX-CP0: BibTeX-SURFACE_TENSION:Mulero-JPCRD-2012 BibTeX-MELTING_LINE: BibTeX-VISCOSITY:QuinonesCisneros-JPCRD-2012
119 | Toluene | toluene, TOLUENE | 108-88-3 | true | C_{7}H_{8} |  BibTeX-CONDUCTIVITY:Assael-JPCRD-2012-Toluene BibTeX-EOS:Lemmon-JCED-2006 BibTeX-CP0: BibTeX-SURFACE_TENSION:Mulero-JPCRD-2012 BibTeX-MELTING_LINE: BibTeX-VISCOSITY:Avgeri-JPCRD-2015-Toluene
120 | trans-2-Butene | Trans-2-Butene, TRANS-2-BUTENE, T2BUTENE | 624-64-6 | true | C_{4}H_{8} |  BibTeX-CONDUCTIVITY: BibTeX-EOS:Lemmon-FPE-2005 BibTeX-CP0: BibTeX-SURFACE_TENSION:Mulero-JPCRD-2014 BibTeX-MELTING_LINE: BibTeX-VISCOSITY:
121 | Water | water, WATER, H2O, h2o, R718 | 7732-18-5 | true | H_{2}O_{1} |  BibTeX-CONDUCTIVITY:Huber-JPCRD-2012 BibTeX-EOS:Wagner-JPCRD-2002 BibTeX-CP0: BibTeX-SURFACE_TENSION:Mulero-JPCRD-2012 BibTeX-MELTING_LINE:IAPWS-Melting-2011 BibTeX-VISCOSITY:Huber-JPCRD-2009
122 | Xenon | Xe, xenon, XENON | 7440-63-3 | true | Xe_{1} |  BibTeX-CONDUCTIVITY: BibTeX-EOS:Lemmon-JCED-2006 BibTeX-CP0: BibTeX-SURFACE_TENSION:Mulero-JPCRD-2012 BibTeX-MELTING_LINE: BibTeX-VISCOSITY:
